DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
06/25/2015,6.831247231,7.03413009,6.983849371,6.969594393,6.877343815,6.482227776,6.025201674,6.021504281,6.614154494,6.577851417,6.104135225,5.793542693,5.712708403,5.98599049,5.988565622,6.117713979,5.737510931
06/26/2015,7.246877399,7.469462018,7.369321997,7.317812242,7.222699345,6.613843577,6.112720412,6.109048444,7.045246273,6.935224395,6.04817022,5.660440162,5.545678369,5.845144423,5.836512987,6.101255921,5.410883845
06/27/2015,7.409010582,7.61606519,7.350402897,7.369677336,7.250315009,6.640654389,6.286220813,6.282853916,7.360250991,7.197413354,5.976892836,5.492635057,5.345912272,5.759363074,5.943015951,6.026692602,5.459266186
06/28/2015,6.702279613,6.75982931,6.699935157,6.608029119,6.568471361,6.121608278,5.796363592,5.791540165,6.452008269,6.423706929,5.595999908,5.275237889,5.15341725,5.448913224,5.545476381,5.671074988,5.185446267
06/29/2015,5.944648997,6.02476619,6.134231766,6.000939785,6.028059691,5.610737464,5.29273031,5.287141963,5.887717815,5.857678776,5.114411738,4.816961725,4.695731397,4.956649104,5.006938955,5.205819402,4.606219705
06/30/2015,6.302360306,6.490842474,6.399553007,6.347645841,6.262815512,5.772578414,5.472346231,5.466974352,6.10958484,6.087011324,5.373409239,5.218333095,5.151280987,5.329274186,5.370040458,5.426993475,5.113288296
07/01/2015,7.963478995,7.957919176,7.927821023,7.814118905,7.851064979,7.038325614,6.89441227,6.892916367,7.936706547,7.713922537,6.729900432,6.098112702,5.678884259,6.163714226,6.114188958,6.519907624,5.520556655
07/02/2015,7.172530987,7.168786739,7.163205414,7.011741796,7.085476514,6.531981616,6.344703948,6.34179587,7.011628409,6.890508859,6.158036774,5.720748683,5.403887861,5.794651307,5.828421362,6.163054405,5.36350923
07/03/2015,9.278338052,9.24598464,9.226573332,9.057641378,9.150168831,8.163412299,7.846725309,7.847869207,9.091955196,8.800010679,7.53836983,6.786733718,6.26863396,7.005103946,6.988456058,7.588793855,6.173070218
07/04/2015,9.85504641,9.649093428,9.683659188,9.496943558,9.555451312,8.412207333,7.859719129,7.860809537,9.108809249,8.925874999,7.666079138,6.865873796,6.34600004,6.94008292,6.854738073,7.752906844,6.080631819
07/05/2015,8.390003883,8.354051217,8.311638815,8.173605622,8.169059541,7.286555187,6.807378799,6.805920952,7.757936968,7.677865213,6.575264047,6.137783433,5.790932321,6.150724612,6.191739106,6.850611315,5.538193869
07/06/2015,7.609172895,7.455044027,7.506563657,7.364131572,7.392310163,6.638448853,6.322382918,6.319770945,7.144524191,7.045875478,6.086684267,5.63235548,5.282794458,5.653333491,5.653401559,6.20450417,5.164634917
07/07/2015,7.127105488,7.253775387,7.224855631,7.160813616,7.10365893,6.425249492,6.178812027,6.175963186,7.060253654,6.966486989,5.946499513,5.665684612,5.317421257,5.646470642,5.657992008,5.95964905,5.338952834
07/08/2015,7.272402054,7.377984395,7.390031521,7.253696143,7.212317445,6.515811878,6.380347649,6.377966279,7.02329272,7.028783244,6.31216336,6.099095089,5.826303415,6.011329228,5.950812452,6.114539654,5.708925725
07/09/2015,7.61022564,7.567749592,7.570519786,7.425988591,7.381980363,6.539515968,6.382903044,6.380458816,7.093299029,7.082276482,6.24034412,5.982090205,5.695532202,5.895909807,5.819118228,6.085318033,5.476360038
07/10/2015,5.826768884,5.527487407,5.710216492,5.48032459,5.560265283,5.130997034,4.997879644,4.991895547,5.08283074,5.176782966,4.959811616,4.940453194,4.79405939,4.874398712,4.855746154,4.872726584,4.83283897
07/11/2015,5.286720024,5.48928979,5.550891926,5.548726487,5.550040563,5.569051468,5.494534026,5.489955972,5.663195224,5.558738588,5.552342979,5.398060584,5.183972389,5.307214391,5.195843686,5.297446867,5.118788826
07/12/2015,4.439393461,4.653391293,4.646224861,4.745462314,4.709652382,4.935879579,4.851040085,4.845212289,4.850708279,4.788443392,5.035523984,5.171697792,5.044231867,5.051798637,4.917899361,4.782139428,5.13475722
07/13/2015,5.387888794,5.689173875,5.672183279,5.72024929,5.712489439,5.741197846,5.596648787,5.592219418,5.840270636,5.749302989,5.649690683,5.565549477,5.398960127,5.503550906,5.43410102,5.46296818,5.445513914
07/14/2015,5.018849654,5.240575781,5.226604881,5.273068066,5.26964549,5.289608054,5.183345037,5.177720004,5.364118657,5.301285179,5.247857793,5.204336664,5.114518621,5.138936203,5.11041089,5.098027703,5.058641629
07/15/2015,5.930229237,5.960775335,5.996095563,6.006106191,5.991060773,5.824974115,5.711219615,5.707434274,5.975265516,5.943134855,5.836369759,5.698932085,5.571085068,5.612885391,5.521751433,5.574698434,5.47260939
07/16/2015,8.951207593,9.168543,9.154218725,9.191108805,9.041184949,8.371244224,8.107221828,8.108709322,8.957561381,8.851922773,8.36077386,7.901949119,7.517224613,7.746942335,7.50139692,7.549376844,7.22576235
07/17/2015,7.639579021,7.756992639,7.868214829,7.940826492,7.934706375,8.010375363,7.723041602,7.724014242,8.109623848,7.994297157,7.937811239,7.713499889,7.419178611,7.529497122,7.288939761,7.353264885,7.271214172
07/18/2015,6.786051745,6.874220701,6.912136672,6.911727901,6.898436367,6.698440033,6.554483755,6.553126907,6.816876599,6.739499339,6.719823924,6.583119478,6.364555178,6.559672755,6.463466514,6.319309658,6.696315348
07/19/2015,8.258931635,8.43436696,8.400294371,8.468640697,8.427141023,8.214307334,8.086412182,8.089497067,8.576910499,8.485870657,8.144487924,7.775862924,7.508987921,7.742543807,7.588898695,7.82515615,7.035431064
07/20/2015,7.698135808,7.509527215,7.529280107,7.410499624,7.404238564,6.640762182,6.37314338,6.371229424,7.100252754,7.06648654,6.194697663,5.780849464,5.415259705,5.823539443,5.798109102,6.149385518,5.48072145
07/21/2015,5.637523698,5.693944614,5.700945673,5.659141413,5.654231434,5.426748743,5.321025731,5.316231435,5.585173093,5.560806744,5.336224392,5.211117355,5.082217696,5.165085658,5.114274589,5.187572088,5.027936079
